year,gender,crime_id,AgeGroup,Count
2013,female,9,25-34 years,442
2014,female,9,25-34 years,288
2015,female,9,25-34 years,279
2016,female,9,25-34 years,311
2017,female,9,25-34 years,301
2018,female,9,25-34 years,323
2019,female,9,25-34 years,309
2020,female,9,25-34 years,228
2021,female,9,25-34 years,288
2010,male,5,35-44 years,228
2011,male,5,35-44 years,210
2012,male,5,35-44 years,225
2013,male,5,35-44 years,257
2014,male,5,35-44 years,321
2015,male,5,35-44 years,379
2016,male,5,35-44 years,369
2017,male,5,35-44 years,418
2018,male,5,35-44 years,329
2019,male,5,35-44 years,367
2020,male,5,35-44 years,398
2021,male,5,35-44 years,437
2010,female,5,35-44 years,1188
2011,female,5,35-44 years,1250
2012,female,5,35-44 years,1291
2013,female,5,35-44 years,1414
2014,female,5,35-44 years,1412
2015,female,5,35-44 years,1594
2016,female,5,35-44 years,1753
2017,female,5,35-44 years,1907
2018,female,5,35-44 years,1943
2019,female,5,35-44 years,1892
2020,female,5,35-44 years,1991
2021,female,5,35-44 years,2422
2010,male,7,35-44 years,930
2011,male,7,35-44 years,838
2012,male,7,35-44 years,904
2013,male,7,35-44 years,818
2014,male,7,35-44 years,735
2015,male,7,35-44 years,709
2016,male,7,35-44 years,795
2017,male,7,35-44 years,848
2018,male,7,35-44 years,843
2019,male,7,35-44 years,977
2020,male,7,35-44 years,853
2021,male,7,35-44 years,814
2010,female,7,35-44 years,394
2011,female,7,35-44 years,417
2012,female,7,35-44 years,441
2013,female,7,35-44 years,380
2014,female,7,35-44 years,341
2015,female,7,35-44 years,304
2016,female,7,35-44 years,314
2017,female,7,35-44 years,310
2018,female,7,35-44 years,341
2019,female,7,35-44 years,362
2020,female,7,35-44 years,312
2021,female,7,35-44 years,317
2010,male,8,35-44 years,369
2011,male,8,35-44 years,355
2012,male,8,35-44 years,392
2013,male,8,35-44 years,373
2014,male,8,35-44 years,357
2015,male,8,35-44 years,370
2016,male,8,35-44 years,411
2017,male,8,35-44 years,420
2018,male,8,35-44 years,425
2019,male,8,35-44 years,509
2020,male,8,35-44 years,447
2021,male,8,35-44 years,440
2010,female,8,35-44 years,150
2011,female,8,35-44 years,156
2012,female,8,35-44 years,180
2013,female,8,35-44 years,152
2014,female,8,35-44 years,125
2015,female,8,35-44 years,145
2016,female,8,35-44 years,144
2017,female,8,35-44 years,115
2018,female,8,35-44 years,144
2019,female,8,35-44 years,151
2020,female,8,35-44 years,149
2021,female,8,35-44 years,120
2010,male,9,35-44 years,562
2011,male,9,35-44 years,484
2012,male,9,35-44 years,516
2013,male,9,35-44 years,450
2014,male,9,35-44 years,381
2015,male,9,35-44 years,344
2016,male,9,35-44 years,383
2017,male,9,35-44 years,426
2018,male,9,35-44 years,414
2019,male,9,35-44 years,462
2020,male,9,35-44 years,409
2021,male,9,35-44 years,372
2010,female,9,35-44 years,248
2011,female,9,35-44 years,265
2012,female,9,35-44 years,265
2013,female,9,35-44 years,228
2014,female,9,35-44 years,218
2015,female,9,35-44 years,158
2016,female,9,35-44 years,174
2017,female,9,35-44 years,193
2018,female,9,35-44 years,195
2019,female,9,35-44 years,214
2020,female,9,35-44 years,165
2021,female,9,35-44 years,191
2010,male,5,45-54 years,106
2011,male,5,45-54 years,114
2012,male,5,45-54 years,142
2013,male,5,45-54 years,229
2014,male,5,45-54 years,213
2015,male,5,45-54 years,341
2016,male,5,45-54 years,357
2017,male,5,45-54 years,464
2018,male,5,45-54 years,404
2019,male,5,45-54 years,360
2020,male,5,45-54 years,314
2021,male,5,45-54 years,341
2010,female,5,45-54 years,614
2011,female,5,45-54 years,627
2012,female,5,45-54 years,678
2013,female,5,45-54 years,701
2014,female,5,45-54 years,800
2015,female,5,45-54 years,990
2016,female,5,45-54 years,1163
2017,female,5,45-54 years,1224
2018,female,5,45-54 years,1263
2019,female,5,45-54 years,1240
2020,female,5,45-54 years,1259
2021,female,5,45-54 years,1484
2010,male,7,45-54 years,610
2011,male,7,45-54 years,601
2012,male,7,45-54 years,584
2013,male,7,45-54 years,512
2014,male,7,45-54 years,484
2015,male,7,45-54 years,465
2016,male,7,45-54 years,513
2017,male,7,45-54 years,522
2018,male,7,45-54 years,532
2019,male,7,45-54 years,582
2020,male,7,45-54 years,537
2021,male,7,45-54 years,491
2010,female,7,45-54 years,351
2011,female,7,45-54 years,335
2012,female,7,45-54 years,350
2013,female,7,45-54 years,331
2014,female,7,45-54 years,258
2015,female,7,45-54 years,240
2016,female,7,45-54 years,255
2017,female,7,45-54 years,278
2018,female,7,45-54 years,296
2019,female,7,45-54 years,286
2020,female,7,45-54 years,220
2021,female,7,45-54 years,244
2010,male,8,45-54 years,259
2011,male,8,45-54 years,300
2012,male,8,45-54 years,282
2013,male,8,45-54 years,248
2014,male,8,45-54 years,242
2015,male,8,45-54 years,229
2016,male,8,45-54 years,294
2017,male,8,45-54 years,261
2018,male,8,45-54 years,274
2019,male,8,45-54 years,285
2020,male,8,45-54 years,283
2021,male,8,45-54 years,244
2010,female,8,45-54 years,140
2011,female,8,45-54 years,137
2012,female,8,45-54 years,139
2013,female,8,45-54 years,130
2014,female,8,45-54 years,111
2015,female,8,45-54 years,115
2016,female,8,45-54 years,120
2017,female,8,45-54 years,115
2018,female,8,45-54 years,131
2019,female,8,45-54 years,119
2020,female,8,45-54 years,113
2021,female,8,45-54 years,104
2010,male,9,45-54 years,352
2011,male,9,45-54 years,302
2012,male,9,45-54 years,305
2013,male,9,45-54 years,260
2014,male,9,45-54 years,241
2015,male,9,45-54 years,240
2016,male,9,45-54 years,222
2017,male,9,45-54 years,263
2018,male,9,45-54 years,255
2019,male,9,45-54 years,291
2020,male,9,45-54 years,254
2021,male,9,45-54 years,248
2010,female,9,45-54 years,213
2011,female,9,45-54 years,201
2012,female,9,45-54 years,210
2013,female,9,45-54 years,203
2014,female,9,45-54 years,145
2015,female,9,45-54 years,129
2016,female,9,45-54 years,140
2017,female,9,45-54 years,160
2018,female,9,45-54 years,164
2019,female,9,45-54 years,164
2020,female,9,45-54 years,107
2021,female,9,45-54 years,137
2010,male,5,55 and over,48
2011,male,5,55 and over,61
2012,male,5,55 and over,100
2013,male,5,55 and over,113
2014,male,5,55 and over,105
2015,male,5,55 and over,217
2016,male,5,55 and over,246
2017,male,5,55 and over,397
2018,male,5,55 and over,286
2019,male,5,55 and over,268
2020,male,5,55 and over,254
2021,male,5,55 and over,268
2010,female,5,55 and over,382
2011,female,5,55 and over,343
2012,female,5,55 and over,379
2013,female,5,55 and over,391
2014,female,5,55 and over,507
2015,female,5,55 and over,603
2016,female,5,55 and over,598
2017,female,5,55 and over,743
2018,female,5,55 and over,815
2019,female,5,55 and over,883
2020,female,5,55 and over,791
2021,female,5,55 and over,1007
2010,male,7,55 and over,498
2011,male,7,55 and over,447
2012,male,7,55 and over,488
2013,male,7,55 and over,437
2014,male,7,55 and over,478
2015,male,7,55 and over,447
2016,male,7,55 and over,437
2017,male,7,55 and over,513
2018,male,7,55 and over,514
2019,male,7,55 and over,600
2020,male,7,55 and over,434
2021,male,7,55 and over,491
2010,female,7,55 and over,337
2011,female,7,55 and over,329
2012,female,7,55 and over,364
2013,female,7,55 and over,345
2014,female,7,55 and over,315
2015,female,7,55 and over,257
2016,female,7,55 and over,294
2017,female,7,55 and over,275
2018,female,7,55 and over,296
2019,female,7,55 and over,323
2020,female,7,55 and over,236
2021,female,7,55 and over,241
2010,male,8,55 and over,188
2011,male,8,55 and over,207
2012,male,8,55 and over,233
2013,male,8,55 and over,229
2014,male,8,55 and over,241
2015,male,8,55 and over,227
2016,male,8,55 and over,212
2017,male,8,55 and over,233
2018,male,8,55 and over,246
2019,male,8,55 and over,299
2020,male,8,55 and over,229
2021,male,8,55 and over,229
2010,female,8,55 and over,96
2011,female,8,55 and over,87
2012,female,8,55 and over,120
2013,female,8,55 and over,108
2014,female,8,55 and over,121
2015,female,8,55 and over,92
2016,female,8,55 and over,109
2017,female,8,55 and over,101
2018,female,8,55 and over,95
2019,female,8,55 and over,135
2020,female,8,55 and over,83
2021,female,8,55 and over,97
2010,male,9,55 and over,309
2011,male,9,55 and over,245
2012,male,9,55 and over,250
2013,male,9,55 and over,212
2014,male,9,55 and over,245
2015,male,9,55 and over,211
2016,male,9,55 and over,223
2017,male,9,55 and over,272
2018,male,9,55 and over,267
2019,male,9,55 and over,303
2020,male,9,55 and over,209
2021,male,9,55 and over,253
2010,female,9,55 and over,236
2011,female,9,55 and over,249
2012,female,9,55 and over,251
2013,female,9,55 and over,233
2014,female,9,55 and over,196
2015,female,9,55 and over,167
2016,female,9,55 and over,184
2017,female,9,55 and over,180
2018,female,9,55 and over,197
2019,female,9,55 and over,183
