year,crime id,Dwelling,Outbuilding or residential land,Educational,Transport(n),Open space,Street/footpath,Other community location(p),Administrative/professional,Retail,Recreational,Other(s)
2012,7,1070.00,174.00,77.00,1126.00,211.00,5123.00,55.00,62.00,3816.00,989.00,191.00
2013,7,980.00,196.00,62.00,1000.00,239.00,4613.00,44.00,60.00,3326.00,829.00,158.00
2014,7,1064.00,171.00,57.00,748.00,155.00,3706.00,49.00,66.00,2776.00,754.00,124.00
2015,7,1072.00,178.00,62.00,731.00,126.00,3336.00,87.00,75.00,2383.00,603.00,117.00
2016,7,1201.00,277.00,61.00,684.00,138.00,3540.00,86.00,67.00,2444.00,637.00,106.00
2017,7,1189.00,239.00,59.00,781.00,163.00,3666.00,116.00,61.00,2316.00,741.00,94.00
2018,7,1363.00,254.00,54.00,860.00,206.00,3816.00,89.00,55.00,2273.00,873.00,119.00
2019,7,1607.00,292.00,91.00,1036.00,234.00,4490.00,89.00,74.00,2468.00,1027.00,152.00
2020,7,1389.00,230.00,81.00,858.00,219.00,3245.00,104.00,67.00,2094.00,815.00,106.00
2021,7,1496.00,186.00,46.00,951.00,191.00,3122.00,79.00,59.00,1911.00,727.00,118.00
2010,11,124426.00,15131.00,9774.00,421.00,105.00,47.00,3367.00,8002.00,24654.00,5714.00,9669.00
2011,11,126924.00,16042.00,8684.00,404.00,91.00,50.00,3228.00,7475.00,24057.00,5581.00,9929.00
2012,11,130768.00,16544.00,7822.00,437.00,44.00,61.00,3360.00,7546.00,25210.00,5586.00,10616.00
2013,11,119989.00,15364.00,7057.00,472.00,46.00,54.00,2892.00,6062.00,21789.00,4834.00,9708.00
2014,11,111435.00,15633.00,6280.00,540.00,82.00,41.00,2832.00,5973.00,19791.00,4617.00,8795.00
2015,11,111732.00,16770.00,6001.00,591.00,0.00,0.00,2827.00,6185.00,20048.00,4422.00,10022.00
2016,11,114703.00,17203.00,5777.00,601.00,0.00,0.00,2899.00,5940.00,20908.00,4380.00,10669.00
2017,11,110282.00,14948.00,5484.00,553.00,0.00,0.00,2593.00,5246.00,19264.00,3976.00,8513.00
2018,11,103038.00,15445.00,5151.00,622.00,8.00,17.00,2638.00,5673.00,17277.00,3852.00,9316.00
2019,11,107193.00,14265.00,5062.00,711.00,0.00,0.00,2813.00,5586.00,17624.00,4064.00,10107.00
2020,11,81285.00,12092.00,3961.00,563.00,0.00,15.00,2200.00,4407.00,13853.00,3094.00,7867.00
2021,11,85311.00,10000.00,4284.00,746.00,3.00,29.00,2225.00,4616.00,14958.00,3266.00,8160.00
2010,14,,23196.00,180.00,3545.00,409.00,18837.00,156.00,837.00,3525.00,738.00,1564.00
2011,14,,24000.00,150.00,3291.00,434.00,18785.00,146.00,1019.00,3535.00,602.00,1581.00
2012,14,,26506.00,193.00,3500.00,395.00,18524.00,199.00,1384.00,3606.00,658.00,1769.00
2013,14,,24652.00,145.00,2971.00,407.00,15857.00,163.00,1386.00,3069.00,579.00,1689.00
2014,14,,22867.00,146.00,2770.00,381.00,15979.00,137.00,1294.00,2861.00,548.00,1670.00
2015,14,,23697.00,135.00,3141.00,316.00,15863.00,189.00,1599.00,2762.00,479.00,1701.00
2016,14,,27826.00,183.00,3600.00,331.00,15078.00,245.00,1377.00,3428.00,570.00,2054.00
2017,14,,27513.00,163.00,3231.00,268.00,13453.00,254.00,1312.00,2873.00,548.00,1759.00
2018,14,,28105.00,142.00,2995.00,290.00,13594.00,245.00,1317.00,3149.00,572.00,1966.00
2019,14,,30778.00,178.00,3541.00,493.00,13964.00,284.00,1598.00,3116.00,710.00,2250.00
2020,14,,25087.00,138.00,2639.00,423.00,12367.00,253.00,1425.00,2520.00,478.00,1881.00
2021,14,,27590.00,143.00,2723.00,358.00,11703.00,280.00,1234.00,2324.00,586.00,1852.00
2010,15,49003.00,90214.00,11238.00,37924.00,7677.00,64363.00,5755.00,6364.00,151046.00,18245.00,16728.00
2011,15,51451.00,97062.00,10462.00,38967.00,7749.00,67779.00,6050.00,6622.00,159806.00,19166.00,17345.00
2012,15,54309.00,99212.00,9711.00,38737.00,7750.00,63529.00,6161.00,6763.00,170754.00,18205.00,17332.00
2013,15,53419.00,94409.00,9249.00,37802.00,8045.00,59552.00,5706.00,6917.00,165461.00,18182.00,15993.00
2014,15,53322.00,92541.00,8666.00,38760.00,9005.00,59819.00,5571.00,7339.00,159402.00,14405.00,16307.00
2015,15,57896.00,99373.00,8321.00,34922.00,5993.00,61655.00,6427.00,7492.00,169309.00,16046.00,17685.00
2016,15,61026.00,107859.00,8242.00,35663.00,6067.00,71915.00,6538.00,7261.00,182457.00,15803.00,16480.00
2017,15,52740.00,105085.00,7847.00,31860.00,5512.00,65335.00,6167.00,7043.00,185041.00,15582.00,14818.00
2018,15,49821.00,112566.00,7119.00,31560.00,5257.00,67317.00,5974.00,7946.00,204445.00,15655.00,16328.00
2019,15,55398.00,114296.00,7508.00,32853.00,5921.00,70697.00,6617.00,8181.00,218435.00,16420.00,19189.00
2020,15,46726.00,92030.00,4517.00,21621.00,5178.00,58939.00,4458.00,5599.00,162082.00,9849.00,14818.00
2021,15,47164.00,88898.00,4647.00,21810.00,4819.00,58031.00,4260.00,5283.00,169612.00,11304.00,14714.00
